CountryCode,Year,T0-4,T5-9,T10-14,T15-19,T20-24,T25-29,T30-34,T35-39,T40-44,T45-49,T50-54,T55-59,T60-64,T65-69,T70-74,T75+,TTotal,M0-4,M5-9,M10-14,M15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75+,MTotal,F0-4,F5-9,F10-14,F15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75+,FTotal
ABW,2015,11.96019193,13.06353221,14.35747175,16.67770566,34.34343434,66.80545042,70.38010159,59.8888722,52.10050518,46.70789378,36.70641315,31.23835548,26.66769136,23.7111293,21.19565217,20.69892473,34.61151417,11.23869172,13.02950628,13.75240187,16.55733403,33.23622881,60.02966259,70.53739196,60.37296037,47.79243119,41.09301104,33.66543095,29.10067114,24.2158516,21.95448461,21.64737917,20.42377869,32.47777083,12.71340356,13.09487724,14.9872268,16.79593474,35.51112363,73.84080371,70.26583525,59.50752394,55.8531746,51.53153153,39.34294872,33.07141206,28.70448772,25.20786092,20.83559414,20.87554269,36.54597932
ABW,2017,12.73401297,13.4729603,14.17646226,16.07094867,29.31371272,55.37598945,72.97647713,63.64211192,53.95245992,47.86681858,38.58206467,32.20673635,28.11515325,24.96722233,23.11281911,20.17946578,34.5379237,11.9695321,13.46449431,13.60468358,15.98721023,28.68810618,49.32821497,70.90069284,64.08820441,50.12062726,42.12544508,35.58873104,30.10319658,25.59092342,23.51721277,23.58024691,19.81441048,32.40025611,13.53811149,13.4902959,14.77109128,16.15176152,29.96543472,61.83180116,74.90182078,63.29296424,57.19387755,52.80131827,41.14733801,34.00905758,30.20997375,26.16120219,22.7610094,20.41920216,36.47563226
ABW,2010,9.413001051,12.50884392,14.85188151,22.05036956,50.77489345,63.05801554,57.91168353,53.01334771,49.12557688,39.29858021,33.89666828,29.12079847,25.17999242,22.11360634,21.78451178,24.66936572,33.7634874,8.818342152,12.39966787,14.18047882,21.29066385,49.05873494,61.21351767,59.31174089,51.47484095,44.82848913,34.05319391,30.74734937,26.96451204,22.02093398,20.34383954,22.90196078,23.59472588,31.59187042,10.03991403,12.61939219,15.54291904,22.86524823,52.59377494,64.6978491,56.72941838,54.32971472,52.87851315,43.88646288,36.67044168,30.98167897,27.97853309,23.63903874,20.9439528,25.35335689,35.7443609
ABW,2000,7.795930066,19.24497333,27.40029542,29.96419271,41.39571768,47.51372549,50.6733359,44.17475728,37.12310809,33.49661432,29.81104385,24.81311792,24.00788066,25.74962519,39.14302258,43.13804173,33.1348442,7.29312763,19.05274489,26.33284242,29.7948551,42.28407695,45.31970995,48.18133896,41.15630713,33.0141129,28.47116265,26.23705409,21.99899548,21.46371464,24.20435511,37.82771536,40.3437816,30.83221201,8.32112511,19.42206168,28.47407407,30.12361744,40.56132257,49.49132256,53.00873908,46.99232082,40.79096045,37.9705401,33.07557118,27.38646895,26.12752722,27.00135685,40.28077754,45.09673115,35.27297475
ABW,2005,9.287188443,12.93091702,19.70160673,26.58013544,41.27962085,56.05240175,51.01650976,48.14771668,40.13117442,34.32632177,31.20709382,27.96324081,23.1610338,22.50518211,24.32093606,35.44617564,32.52991573,8.705148206,12.98102981,19.21790584,26.96952271,41.80116204,54.29208473,51.63690476,46.07213439,35.74366746,29.75024486,28.2208589,25.23771791,20.08390142,21.094265,25.16810759,31.93133047,30.6028503,9.886914378,12.88024116,20.17699115,26.19772916,40.77970297,57.59472817,50.49130763,49.97796386,44.09188242,38.29335598,33.82471187,30.40227839,25.94517958,23.66863905,23.6511456,38.02902056,34.27955923
ABW,1995,5.872756933,22.29555699,21.2736896,23.11058075,45.54140127,50.05030904,40.18247719,32.25352113,28.96142433,26.79896142,19.93554328,17.19709659,16.58236994,20.92071611,19.44837341,19.05634448,27.73019272,6.183115339,22.35849057,20.88501509,21.96463654,41.90902312,44.46662864,34.77827603,27.43775934,24.49411054,22.70659591,17.41626794,15.95744681,15.73292402,20.47930283,20.62015504,18.67266592,25.17669628,5.563776265,22.22222222,21.68465019,24.29492345,49.20933735,55.72297885,45.61183551,36.95927144,33.27500729,30.69666183,22.28140257,18.32627119,17.33788396,21.31147541,18.44155844,19.30501931,30.21519112
ABW,1990,11.69168056,15.71944497,18.76903001,17.16777599,21.47170655,25.48659567,23.61419069,26.66071429,27.1072151,24.6835443,23.36706532,23.41001353,37.50692521,36.14374568,39.50807071,40.34825871,23.24092101,11.09602986,15.20404478,18.60869565,15.65523307,19.20558708,22.92519539,20.79143691,23.54948805,23.55175689,20.9274673,20.61317678,20.27118644,34.92990654,36.97347894,43.00699301,41.43920596,20.96937278,12.40310078,16.28559968,18.91304348,18.81901104,23.86415787,27.99129804,26.29137024,29.42963213,30.31596926,28.18941504,25.81018519,26.55405405,39.83140148,35.43990087,36.76268861,39.65087282,25.45010002
AFG,2015,1.159712723,1.203691513,1.190147945,0.966054258,1.192770497,1.597465079,1.909582602,2.207985018,2.523805723,2.700638485,2.683156186,2.526739854,2.014983712,0.585354597,0.480178436,0.645091774,1.451689082,1.160708342,1.164127328,1.102631055,0.876095365,1.086074967,1.47885816,1.858956887,2.20094579,2.586788875,2.836319995,2.841958131,2.734371548,2.301286254,0.669115501,0.536448499,0.75628939,1.427356829,1.158663236,1.245195078,1.282538952,1.061721937,1.307674627,1.728232797,1.964692315,2.215856443,2.453439572,2.551808589,2.511451317,2.311011814,1.729202051,0.512387495,0.428866842,0.554193482,1.477573473
AFG,1990,0.155307191,0.197878038,0.28352324,0.417731415,0.622330643,0.839654608,0.914124233,0.87246709,0.766702551,0.77992654,0.823816489,0.91312571,0.842446335,0.747944291,0.491885144,1.016914681,0.470940184,0.176224911,0.218251497,0.302326883,0.421799739,0.615303143,0.859477674,0.986301075,0.992410604,0.961186775,0.940081857,1.036099591,1.179162267,1.056042521,0.953783026,0.648711882,1.2989343,0.519434688,0.133349884,0.176258231,0.263371653,0.413351963,0.629877724,0.818504906,0.837292468,0.745588211,0.58455407,0.61359088,0.617052585,0.665190491,0.631907902,0.55459935,0.35303255,0.764462146,0.420120087
AFG,1995,0.131680199,0.177484012,0.242947932,0.351096123,0.524926005,0.70214598,0.813607878,0.849041379,0.81384788,0.731025362,0.748267135,0.805989276,0.797052192,0.618530465,0.371549453,0.695979357,0.418268537,0.142429254,0.185774292,0.246213905,0.337217494,0.495468153,0.688431784,0.842415513,0.929468489,0.927353925,0.888699904,0.871210769,0.957411888,0.959670494,0.729293662,0.455413795,0.864667444,0.441896563,0.120278481,0.168516606,0.239382291,0.366378712,0.557306792,0.717133705,0.782227049,0.762023479,0.692480369,0.579652957,0.617935263,0.651917094,0.636302194,0.506103339,0.291833525,0.548008645,0.392924522
AFG,2000,0.111849908,0.157974036,0.211298434,0.309269733,0.462522415,0.615255541,0.729660933,0.813159876,0.809928237,0.770467832,0.706053722,0.762607374,0.757712878,0.561339465,0.327132682,0.553867996,0.377813884,0.124124699,0.171572497,0.221138289,0.309063141,0.45474075,0.629225665,0.785598439,0.919238072,0.946370648,0.91591861,0.892616585,0.917431193,0.93307016,0.700176887,0.405972509,0.708445892,0.41411069,0.098976224,0.143660253,0.200665237,0.309495243,0.471096268,0.600047269,0.669263443,0.698808416,0.663983035,0.617420569,0.5316061,0.603661451,0.586191162,0.430991874,0.251691278,0.421430104,0.339281455
